model,horizon,n_origins,mean_LPS,MAE_model,RMSE_model,MAE_raw,RMSE_raw
SAR112,52,2,1.7386015741792349,0.02881448688020953,0.031242726960776485,144.60747583846796,150.00788607007752
SAR112,53,2,1.7048440108094496,0.028436212745911002,0.033465988476282335,139.7576463169912,157.79894630472484
SAR112,54,2,1.6830075541188907,0.03378069612871125,0.041542563232514186,171.62070185696803,204.69633833401102
SAR112,55,2,1.53916800476431,0.03921582846605577,0.05430576150986374,200.57248096048124,276.41337604321046
SAR112,56,2,1.5188894675231925,0.04350099491551794,0.05727795852875167,230.46432396309,299.42851817242183
SAR112,57,2,1.3795368140745858,0.04534675768226674,0.061022680345162256,240.5486197089831,320.7390349381781
SAR112,58,2,1.3363813785068592,0.04939657963956909,0.05849127338025048,268.7384647715562,310.0589868516833
SAR112,59,2,1.3415782659360356,0.048308320778392776,0.05281747530685971,267.23725488469927,284.47887017307835
SAR112,60,2,1.390695905541311,0.0580177898065071,0.06095703261960055,325.0865576593269,334.7806684820063
SAR112,61,2,1.2868188914385024,0.059997577249678705,0.06168138637296085,342.89110401515154,347.5134161567936
SAR112,62,2,1.2506936575952277,0.0568992140057916,0.059468820997573064,323.07912246353044,332.73788086760663
SAR112,63,2,1.2181608677262692,0.05482316564577768,0.05858499128784571,302.5089412721022,319.78563714511967
SAR112,64,2,1.4427238964259546,0.03890672664376408,0.04514410838164107,206.22706301209655,236.83818928004806
SAR112,65,2,1.4997611493419152,0.02777239875196006,0.035249098735502124,145.1956258528994,182.9770714441314
SAR112,66,2,1.6677114205595607,0.0196064443264897,0.019624911917634387,104.87075455504737,104.88909816724686
SAR112,67,2,1.7982272154369157,0.00456943980320515,0.005352091828767818,22.844797457985806,26.585752447692386
SAR112,68,2,1.787007620913665,0.0058257890907212895,0.005917852823159077,28.523438073204034,29.119114116126948
SAR112,69,2,1.7718057980002961,0.0074237985146789545,0.007502937557956928,37.45590343920776,37.708827157064626
SAR112,70,2,1.7120669173057963,0.01246945056796048,0.01322765046172472,59.67461154506691,63.75942776603045
SAR112,71,2,1.6702277183941834,0.023685869751684907,0.024245349590463268,116.81706626963341,119.17811430662759
SAR112,72,2,1.6199597616013681,0.03186398874183724,0.03194092562720756,145.52925863614564,145.77834353525748
SAR112,73,2,1.5920223351890885,0.033645421616270835,0.03364545349643261,148.5362921812516,148.53704626276516
SAR112,74,2,1.4477793069850784,0.04399608450242491,0.04499313227512702,198.86126273715217,203.61798828309554
SAR112,75,2,1.223183055858089,0.045911734666630906,0.05676868116165372,226.40155337932674,281.7947590029367
SAR112,76,2,1.1194285107420823,0.060331276424390366,0.07892948929699661,333.7104894516551,439.1814730726989
SAR112,77,2,1.01941997927133,0.06490954761981185,0.0807421547945685,368.26093457306206,462.6993646282415
SAR112,78,2,1.2227314579492083,0.06062500020892968,0.07806691010536469,359.7717703207104,467.4277403674596
SAR112,79,2,1.2421919520937375,0.06381351883702403,0.08694075927892152,390.9144753772184,534.9422326926889
SAR112,80,2,1.2176289257007142,0.06493427895441903,0.09119643439022863,408.10603520595487,573.711312613616
SAR112,81,2,1.1261090885710443,0.06499602312307465,0.08753454463397795,410.0989314994158,556.3166300629528
SAR112,82,2,1.277990057004279,0.06202762156129607,0.08681405926162696,398.39140152765003,558.6063449919694
SAR112,83,2,1.1897662792396537,0.06646010305899878,0.08575187031029317,421.1299686369334,552.2938114859045
SAR112,84,2,1.2452065981781788,0.05562250426104146,0.06890366874974184,349.3242095735209,442.7017267482418
SAR112,85,2,1.2906117578988185,0.051484734894568444,0.06100312341469599,321.078857595091,391.31532717532707
SAR112,86,2,1.2810994993514555,0.05087128844730882,0.056314490591852985,309.1321406737352,352.5838688282123
SAR112,87,2,1.4069929101379515,0.04923157848700815,0.05251375239253249,284.55959577081785,310.85798994433446
SAR112,88,2,1.4351774135495465,0.0459774296475242,0.04646105167426881,249.90555760550978,255.4626621090338
SAR112,89,2,1.4389123854367412,0.04922521237666277,0.05106488768485845,268.57964208191925,282.27978605760967
SAR112,90,2,1.3846029352551463,0.04077900424389117,0.04490562921187249,224.1524459625307,250.67733633551242
SAR112,91,2,1.459920722094966,0.04092158349241052,0.04455888276915544,211.64059717758073,232.95126449013236
SAR112,92,2,1.3490664168432986,0.03875229977612388,0.0425844247139217,192.29309240606153,212.85303868525216
SAR112,93,2,1.4751134432712907,0.03442033687159424,0.0363380323712926,177.9026634989409,189.0698771572978
SAR112,94,2,1.3786272778878956,0.04117491537130526,0.0418398938453204,197.49338661469665,201.54092846923356
SAR112,95,2,1.3828948671553811,0.039282112166864155,0.0408735949507755,197.3207801621743,206.39168228735338
SAR112,96,2,1.3354308909058732,0.05160814502365028,0.05162175660428096,237.64819504545085,237.6492578499697
SAR112,97,2,1.1594009876780937,0.051194021182390234,0.051209112841171946,225.46563751332906,225.88053163061494
SAR112,98,2,1.2276140401524291,0.05738379830892954,0.057399218229698824,255.9749260312501,256.9594054718709
