Horizon,LPS,MAE,RMSE
151,0.7071807727543844,399.86470723449673,496.0486112508406
152,0.7095381486231738,375.9036286973613,496.48359739397057
153,0.6774969134884455,382.3887003935478,515.5332298794721
154,0.64456882737895,395.093490310877,507.7130945069396
155,0.6108025830025687,399.4538412571353,535.469317304223
156,0.6445692310201401,400.75373550040604,541.5542864500591
157,0.6845941926443028,427.5060023965265,561.5908512324406
158,0.7902238755149373,395.72158149376787,539.0394321308953
159,0.8395403457521752,388.96866962171384,539.4170558454268
160,0.8677119765724497,375.63876148055647,528.149198012407
161,0.9196941075063633,344.4050748398617,468.62742004319466
162,0.9935171599212301,292.35904883270865,393.21383574232357
163,1.0834321041328607,235.25636858463855,306.87784270530034
164,1.121134211379158,207.22460940418486,263.3088256860115
165,1.1753520830407358,187.04718106145066,232.9540324736022
166,1.1559371876651754,190.73738930771472,222.01894919772832
167,1.1276002231755171,179.3459700208109,213.5090935439474
168,1.0809235231489227,192.19435240047727,230.11994047076263
