Season,Hour_of_week,Pre_COVID,COVID,Difference
Summer,97,4376.2603125,4274.470769230769,-101.78954326923031
Summer,98,4116.95265625,4024.8253846153852,-92.12727163461432
Summer,99,3973.13703125,3886.2261538461535,-86.91087740384637
Summer,100,3982.028281249999,3916.258461538462,-65.76981971153691
Summer,101,4209.9284375,4111.049999999999,-98.87843750000047
Summer,102,4714.1609375,4542.900769230769,-171.26016826923114
Summer,103,5235.216874999999,4853.989230769232,-381.2276442307675
Summer,104,5275.620468750002,4719.129999999999,-556.490468750003
Summer,105,5339.944843750001,4620.216923076923,-719.7279206730782
Summer,106,5406.4917187500005,4427.805384615384,-978.6863341346161
Summer,107,5487.549374999998,4361.7715384615385,-1125.7778365384593
Summer,108,5533.742656250001,4274.276153846154,-1259.4665024038477
Summer,109,5594.780937500002,4218.55923076923,-1376.221706730772
Summer,110,5654.417812500001,4293.686923076923,-1360.7308894230773
Summer,111,5736.560468750002,4399.189230769231,-1337.3712379807712
Summer,112,5881.058906249999,4672.484615384615,-1208.5742908653847
Summer,113,5942.792187500002,5014.414615384616,-928.3775721153861
Summer,114,5802.37203125,5199.6023076923075,-602.7697235576925
Summer,115,5607.3364062499995,5241.791538461538,-365.5448677884615
Summer,116,5425.517812500001,5168.358461538461,-257.15935096154044
Summer,117,5157.718437500001,4957.507692307691,-200.21074519230933
Summer,118,4773.010468750002,4638.9784615384615,-134.03200721154008
Summer,119,4561.376249999998,4452.729230769231,-108.647019230767
Summer,120,4718.145230769232,4589.084615384615,-129.06061538461654
Summer,121,4285.308769230771,4252.09076923077,-33.21800000000076
Summer,122,4006.8363076923065,3988.891538461539,-17.944769230767633
Summer,123,3834.7359999999994,3852.5538461538463,17.817846153846858
Summer,124,3799.796769230768,3836.2799999999997,36.483230769231795
Summer,125,3866.56846153846,3900.1284615384616,33.560000000001764
Summer,126,4027.0824615384618,4053.3823076923077,26.29984615384592
Summer,127,4286.5295384615365,4162.925384615384,-123.60415384615226
Summer,128,4403.735384615386,4095.5269230769222,-308.2084615384633
Summer,129,4504.5929230769225,3984.9146153846154,-519.678307692307
Summer,130,4549.386461538462,3946.100769230769,-603.2856923076929
Summer,131,4552.053538461537,3945.0284615384617,-607.0250769230752
Summer,132,4569.973230769231,3876.7915384615385,-693.1816923076926
Summer,133,4570.500000000001,3817.729230769231,-752.7707692307699
Summer,134,4607.507846153845,3825.197692307692,-782.3101538461533
